feature	r2_score	cell_count_coef	DMSO_coef	drug_x_coef
Cytoplasm_AreaShape_Area	0.029300027797506845	-0.0007168836719018753	-0.035554712178754375	0.03555471217875437
Cytoplasm_AreaShape_Compactness	0.02804058830717504	0.00016652442454190484	-0.17915366802835048	0.17915366802835045
Cytoplasm_AreaShape_Eccentricity	0.04767379771090319	-0.0004936207306328322	-0.1954370936289313	0.19543709362893127
Cytoplasm_AreaShape_FormFactor	0.03575131002457144	-0.00016412402948497864	0.19631931907834305	-0.19631931907834302
Cytoplasm_AreaShape_MajorAxisLength	0.08460014971589835	-0.001010548586938987	-0.16166057517487023	0.1616605751748702
Cytoplasm_AreaShape_MinorAxisLength	0.0048108094471666085	-0.00023933151974738097	0.0449133694994505	-0.044913369499450496
Cytoplasm_AreaShape_Orientation	7.052769509041656e-05	-8.202454697552033e-07	0.009019372119502735	-0.009019372119502734
Cytoplasm_AreaShape_Zernike_0_0	0.03568626901883121	0.00027548871431200034	0.18897574805527967	-0.18897574805527964
Cytoplasm_AreaShape_Zernike_1_1	0.013265309372854195	0.00021650828815684652	0.11037495775167894	-0.11037495775167891
Cytoplasm_AreaShape_Zernike_2_0	0.004193938679437514	-6.224710067927578e-05	0.06788593017671621	-0.0678859301767162
Cytoplasm_AreaShape_Zernike_2_2	0.0034049498166502934	1.5731840587088988e-05	0.0624320070280739	-0.062432007028073895
Cytoplasm_AreaShape_Zernike_3_1	0.005708674926180768	0.00012255138226301038	0.07477563851055218	-0.07477563851055216
Cytoplasm_AreaShape_Zernike_3_3	0.01336913792148986	0.00020610563031320215	0.11034173986364287	-0.11034173986364286
Cytoplasm_AreaShape_Zernike_4_0	0.023540481748761555	0.00020463690642241506	0.14827269495582587	-0.14827269495582585
Cytoplasm_AreaShape_Zernike_4_2	0.0009867966938083006	-9.347606309686698e-05	0.024018256998145887	-0.024018256998145884
Cytoplasm_AreaShape_Zernike_4_4	0.0016899267533432294	-8.790737527918597e-05	0.03810502892290931	-0.038105028922909304
Cytoplasm_AreaShape_Zernike_5_1	0.027357882945850176	0.0003053756276838856	0.15453670189729868	-0.15453670189729865
Cytoplasm_AreaShape_Zernike_5_3	0.004894149627582278	0.00012736570216319998	0.06718909435972135	-0.06718909435972134
Cytoplasm_AreaShape_Zernike_6_0	0.01695140208697221	0.00021234539820953665	0.12661130778040885	-0.12661130778040883
Cytoplasm_AreaShape_Zernike_6_2	0.01592150634600764	0.00013064897443306234	0.12772577853536876	-0.12772577853536873
Cytoplasm_AreaShape_Zernike_6_4	0.0021318309349523945	-0.00017949176613840472	-0.017530635452991154	0.017530635452991154
