feature	r2_score	cell_count_coef	DMSO_coef	TGFRi_coef
Cytoplasm_AreaShape_Area	0.02332545747017356	-0.0004407334640558485	0.09898651790587654	-0.09898651790587654
Cytoplasm_AreaShape_Compactness	0.0067373232158557395	-0.00015153074338134374	0.06713027708242672	-0.06713027708242672
Cytoplasm_AreaShape_Eccentricity	0.017345973362739797	-0.0004641441417180451	-0.0947644891146407	0.0947644891146407
Cytoplasm_AreaShape_FormFactor	0.0038633679305929425	7.288981398760432e-05	-0.06093798744287346	0.06093798744287346
Cytoplasm_AreaShape_MajorAxisLength	0.04576210921651103	-0.0008519165068141757	0.02466163981547577	-0.02466163981547577
Cytoplasm_AreaShape_MinorAxisLength	0.027861748623384086	-8.723229336404971e-05	0.16843097738318347	-0.16843097738318347
Cytoplasm_AreaShape_Orientation	0.00012138111811588193	-3.148217821771702e-05	-0.009594055684798876	0.009594055684798876
Cytoplasm_AreaShape_Zernike_0_0	0.013308843379519097	0.0004880012056684809	0.03591597197939379	-0.0359159719793938
Cytoplasm_AreaShape_Zernike_1_1	0.006858212850650025	0.0003488920642369934	0.03089827340263778	-0.03089827340263778
Cytoplasm_AreaShape_Zernike_2_0	0.0019338915959858927	6.858080874504969e-05	0.04516819697447437	-0.04516819697447437
Cytoplasm_AreaShape_Zernike_2_2	0.0025581357164355945	0.00019521591322573204	-0.01735464927704996	0.01735464927704996
Cytoplasm_AreaShape_Zernike_3_1	0.005903181331108565	0.00032600716463406166	0.02192774436393711	-0.02192774436393711
Cytoplasm_AreaShape_Zernike_3_3	0.00629881542277877	0.0003461915095510087	0.01266261717950749	-0.01266261717950749
Cytoplasm_AreaShape_Zernike_4_0	0.009965329535917333	0.00043149363195209344	-0.015886180571043913	0.015886180571043913
Cytoplasm_AreaShape_Zernike_4_2	0.00019008001482923031	-1.6039736412379258e-05	0.01328574841147219	-0.013285748411472191
Cytoplasm_AreaShape_Zernike_4_4	0.003216462589881508	0.00010829599166576495	-0.049766410655010765	0.049766410655010765
Cytoplasm_AreaShape_Zernike_5_1	0.00880966939540262	0.00041006165600507316	0.0055825859017689695	-0.0055825859017689695
Cytoplasm_AreaShape_Zernike_5_3	0.0033674637164538	0.0002500662100824011	0.011514689366305283	-0.011514689366305283
Cytoplasm_AreaShape_Zernike_6_0	0.0038062335697802707	0.00027473018257728445	0.007726553285096818	-0.007726553285096817
