feature	r2_score	cell_count_coef	failing_coef	healthy_coef
Cytoplasm_AreaShape_Compactness	0.014050888974927234	0.0015337930633492513	0.03444151379154361	-0.034441513791543615
Cytoplasm_AreaShape_Extent	0.009506221948039073	-0.0010737755582745816	0.06792423062629051	-0.06792423062629051
Cytoplasm_AreaShape_FormFactor	0.015722939042996265	-0.0016924175634888895	0.010992267968891696	-0.010992267968891696
Cytoplasm_AreaShape_MajorAxisLength	0.026153664004827104	-0.0016991752680669112	0.07358030465944596	-0.07358030465944596
Cytoplasm_AreaShape_MinorAxisLength	0.03052222508266078	-0.0019311096754316501	0.13444251308083896	-0.13444251308083896
Cytoplasm_AreaShape_Perimeter	0.017949337049603442	-0.001078313307758185	0.12253996754597513	-0.12253996754597514
Cytoplasm_AreaShape_Zernike_0_0	0.00730432209803189	-0.0009313997792026847	0.07108388705897789	-0.0710838870589779
Cytoplasm_AreaShape_Zernike_1_1	0.0055740164602585685	-0.0007671649834266137	0.06343925699015021	-0.06343925699015023
Cytoplasm_AreaShape_Zernike_2_0	0.007549215020969835	-0.00101284062974725	0.0562526685778314	-0.056252668577831406
Cytoplasm_AreaShape_Zernike_2_2	0.0031355216089008486	-0.0006954044886794132	0.003946863967665084	-0.003946863967665084
Cytoplasm_AreaShape_Zernike_3_1	0.0023068486360210416	-0.0005603963687084225	0.029861237354991715	-0.029861237354991715
Cytoplasm_AreaShape_Zernike_4_0	0.000929221188121554	9.784493114843712e-05	0.03053140699818726	-0.03053140699818726
Cytoplasm_AreaShape_Zernike_4_2	0.0028209759056683215	-0.0005293594159778704	-0.023957717976643374	0.023957717976643377
Cytoplasm_AreaShape_Zernike_4_4	0.0027742363185427887	-0.0005663212930788132	-0.017696615381551373	0.017696615381551373
Cytoplasm_AreaShape_Zernike_5_1	0.0009251141304018606	-0.00034443053607895933	0.021923121550263984	-0.021923121550263984
Cytoplasm_AreaShape_Zernike_5_3	0.00281571812808179	-0.0006500812633562619	8.735138150685245e-05	-8.735138150685245e-05
Cytoplasm_AreaShape_Zernike_6_0	0.0011563859774148533	-0.00019867545073063453	0.03816510064048008	-0.03816510064048008
Cytoplasm_AreaShape_Zernike_6_2	0.00036476994952072683	0.0002372875315679324	-0.0010475245416087828	0.001047524541608783
Cytoplasm_AreaShape_Zernike_6_4	0.003266572955417768	-0.00044726564861671857	-0.03933133884367647	0.039331338843676476
Cytoplasm_AreaShape_Zernike_7_1	0.0011863945732907277	-0.00018760214497087679	0.039422758239832316	-0.039422758239832316
Cytoplasm_AreaShape_Zernike_7_3	0.0001517326123103846	-2.8241410580217543e-05	-0.012407135076857232	0.012407135076857234
Cytoplasm_AreaShape_Zernike_8_0	0.0002601158341694054	-0.00021928630475572666	0.005661953004545054	-0.005661953004545054
Cytoplasm_AreaShape_Zernike_8_2	4.7406000802996395e-05	-3.618105421487541e-06	0.007594467720626486	-0.007594467720626485
Cytoplasm_AreaShape_Zernike_8_4	0.00046387853043894367	0.00010199496266429864	-0.02190240870817769	0.02190240870817769
